#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####
28.49737915,28.75352113,12.91363163,21.34956417,26.43127962,21.55299539,26.43231441,18.71794872,38.22510823,19.65753425,22.01485149,16.79079498,23.47826087,38.92857143,25.44827586,18.49130435,17.22304833,23.40996169,19.45021645,26.22649573,29.28017241,32.60504202,25.32740214,25.21453287,17.37545126,14.18181818,18.94791667,25.21900826,18.92255892,24.64285714,22.34042553,34.12831858,20.25862069,28.51459854,15.65496027,18.05351367,13.59007002,15.98374439,17.06746827,15.2113789,15.92806511,16.20053864,15.30350114,15.22051996,14.09090909,13.04329725,15.00932587,16.17982184,16.17386909,22.55493604,18.57554417,14.09567039,18.03656307,16.5589393,15.82414765,14.83303249
28.59638905,29.20422535,12.97259799,22.42260295,26.58767773,21.82949309,27.91703057,19.75641026,38.2987013,19.68150685,22.17821782,16.80753138,23.45059289,38.95982143,25.48275862,18.49130435,17.20074349,23.40996169,19.38095238,26.41025641,29.46982759,32.59243697,25.37366548,25.81314879,19.23104693,14.29090909,18.99305556,25.53719008,19.24915825,24.8531746,22.48085106,37.22566372,20.31465517,28.44160584,17.11612407,19.66186416,13.80330999,16.06782511,18.37007348,15.3694192,16.04095563,17.1327947,15.41330019,15.29712163,14.18595041,13.22647794,15.54223288,16.18603688,16.13090725,27.76976058,21.30921895,14.13058659,19.91590494,16.6003729,16.03947706,15.28429603
28.84682586,29.88028169,13.00728408,24.36729787,26.93364929,22.10599078,30.20524017,21.50854701,38.42857143,19.62328767,22.36138614,16.82008368,23.43873518,38.92857143,25.59655172,18.62173913,17.21189591,23.51340996,19.42424242,26.82478632,29.82758621,32.61764706,25.39857651,27,22.77978339,14.41090909,19.13194444,26.32231405,19.8989899,25.21031746,22.83829787,42.95132743,20.44396552,28.52919708,19.50781851,22.35518965,14.09929981,16.24719731,20.63126253,15.64598973,16.23260698,18.65133623,15.46094883,15.39693593,14.4214876,13.50124896,16.43218758,16.26268904,16.12332575,35.21482453,25.86427657,14.2702514,22.99817185,16.75367723,16.27018713,16.0333935
29.062318,31.52816901,13.00728408,27.55335137,27.5971564,22.44239631,33.48034934,24.15811966,38.51515152,19.59931507,22.57425743,16.91631799,23.47826087,39.00446429,25.87241379,18.81304348,17.26022305,23.44827586,19.49350649,27.44871795,30.64655172,32.64705882,25.55160142,29.20415225,29.74729242,14.62909091,19.38541667,27.82231405,21.01010101,25.90079365,23.54468085,50.3539823,20.71982759,28.55109489,23.78108177,27.01264334,14.70401018,16.61995516,24.50567802,16.08060055,16.56602783,21.0006215,15.641185,15.54549675,14.87603306,14.00083264,17.87903011,16.31033768,16.21683093,43.78484749,33.4731114,14.42039106,28.50822669,16.89869484,16.61112535,17.43231047
29.48747816,34.22535211,13.07665626,33.40246468,28.42180095,23.1797235,38.38427948,28.23504274,38.6017316,19.57876712,22.87128713,17.05857741,23.52964427,39.12053571,26.2862069,19.04347826,17.32342007,23.51340996,19.58008658,28.83333333,32.16810345,32.71848739,25.8113879,33.78200692,40.02527076,15.02909091,19.83680556,30.8553719,23.26599327,27.42063492,25.10638298,58.81858407,21.19396552,28.56569343,30.38451679,34.86327551,15.84977721,17.41311659,31.55310621,16.92216515,17.09897611,23.83053657,15.86906982,15.93082637,15.73140496,14.97502082,20.6314948,16.36005801,16.40131413,53.04362086,42.96734955,14.87430168,37.86837294,17.35446447,17.31094591,19.82400722
29.91846243,38.23943662,13.3194589,42.11000902,29.91943128,24.43778802,45.98253275,34.02991453,38.68831169,19.57876712,23.41584158,17.28033473,23.66403162,39.28571429,27.12758621,19.43478261,17.49814126,23.53639847,19.72727273,31.31196581,35.31465517,32.91176471,26.48754448,40.76124567,51.96028881,15.85454545,20.69444444,36.51652893,27.61952862,30.43650794,28.01276596,66.88938053,22.01293103,28.62408759,37.93129967,44.33990003,17.73711012,18.68553812,41.10554442,18.43935203,18.16749803,26.86969132,16.38077481,16.6272052,17.17768595,16.68193172,25.34772182,16.41392169,16.72226434,61.76779272,53.08258643,15.70181564,49.05667276,18.20385333,18.52601897,23.84025271
30.57658707,44.13380282,13.62122789,51.33754133,31.92890995,26.17511521,56.4628821,41.82478632,38.7012987,19.62328767,24.12376238,17.54393305,23.75494071,39.46428571,28.7,20.13043478,17.7063197,23.76628352,19.94372294,35.51282051,40.71982759,33.19327731,27.46263345,48.68512111,63.09386282,17.15272727,22.05902778,45.24793388,34.51178451,35.50396825,32.85106383,74.01327434,23.31896552,28.89416058,44.86029223,53.74007645,20.53787397,20.71188341,51.07882432,20.83366258,19.68233132,29.63952766,17.1327947,17.88068709,19.45041322,19.32972523,32.08100187,16.64180651,17.24286075,69.37684487,61.77976953,16.99371508,60,19.41785788,20.37169956,29.75180505
31.5259173,52.83802817,14.14151925,59.7234746,35.00947867,29,68.45851528,53.40598291,38.87445887,19.82876712,25.75742574,18.10460251,23.90118577,39.76339286,31.8862069,21.56521739,18.14126394,24.08812261,20.46320346,43.17521368,49.55603448,33.72689076,29.5480427,56.88581315,73.09386282,19.61090909,24.65277778,55.96280992,43.1986532,43.98015873,41.1787234,80.53097345,25.99137931,29.31751825,50.85875417,62.11996472,25.53469128,23.99943946,60.51102204,24.82418017,22.2814387,32.24984462,18.50010358,19.96982358,23.26446281,24.03413822,39.96802558,16.84897452,18.24614607,76.23155133,69.80473752,19.05377095,69.50639854,21.38595401,23.22481415,39.90523466
33.31391963,66.76056338,14.90461325,66.77787797,39.51184834,33.41013825,80.49344978,67.05128205,39.32034632,20.20547945,28.56435644,19.19246862,24.13833992,40.25446429,37.92068966,24.18695652,18.94795539,24.80076628,21.32900433,53.40598291,59.78448276,34.24369748,33.20284698,64.77508651,82.03249097,24.15636364,29.50347222,67.23140496,52.4006734,54.29761905,51.1787234,86.31415929,31.1637931,30.17153285,56.52396821,69.8235813,33.01400382,30.01681614,69.41549766,31.65942315,26.67366763,34.64470686,20.64014916,23.58402971,30.19421488,31.98584513,48.20943245,17.2363787,19.97220116,82.74844211,77.0262484,22.63617318,78.62157221,24.61155998,28.65931812,53.10018051
36.30168899,87.58450704,16.65972945,74.06071536,46.39810427,40.13824885,92.08296943,81.89316239,40.14285714,21.00342466,34.22277228,21.33891213,24.7312253,40.99553571,46.04482759,29.59565217,20.7063197,26.18007663,23.01731602,64.82905983,70.70258621,34.84453782,39.45551601,72.66435986,90.68592058,31.92727273,37.84722222,78.05785124,61.44781145,65.62301587,62.3106383,92.33185841,40.875,31.19343066,62.16354781,77.07438989,41.7982177,38.44450673,78.28991316,42.97510865,34.07718561,37.06857261,24.64677854,29.85840297,40.59090909,42.53538718,56.22168932,17.85788274,22.97952995,89.7999344,84.0268886,29.45879888,87.61608775,28.56846903,35.99846193,68.19945848
