#T4 #,#Progesterone #,#T4 #,#T4 #,#T4 #,#T4 #,#cCRP #,#cCRP #,#Vet D-Dimer #,#Vet D-Dimer #,#T4 #
T4NYA07VB,PGNFA04VB,T4MXA01VB,T4NAA02VB,T4NAA02VB,T4NAA02VB,CRNDA06VN,CRNDA06VN,DDNEA04V,TSNKA01VB.1,T4NHA03V
48.27,48.27,48.27,48.27,48.27,48.27,38.64,39.75,48.27,48.27,48.27
> 90.00,> 20.00,Error 25,Error 25,Error 25,Error 25,Error 25,Error 25,Error 25,Error 25,Error 25
,,,,,,,,,,
#### SCAN DATA ####,#### SCAN DATA ####,2017-07-24 14:46:01,2017-08-12 14:48:20,2017-08-14 15:45:13,2017-08-16 16:13:52,2017-06-05 cCRP,2017-07-05 cCRP,2017-07-05 D-Dimer,2018-02-28 TSH,2018-02-28 T4
0.973689662,0,15.55210276,2.96871763,10.48891651,0,0,2.206289308,23.92169049,23.92169049,5.324217941
0.926041019,0,15.73855397,7.153511498,10.52413507,0,0,1.828930818,23.17588564,23.17588564,5.510669153
0.988191423,0,16.12388647,12.60203025,10.55935364,0,0,1.426415094,22.64967889,22.64967889,5.744769008
0.973689662,0,16.36627305,17.1949451,10.62771908,0,0,0.988679245,22.09861197,22.09861197,6.007872385
0.897037497,0,16.73296043,19.21068987,10.70437125,0,0,0.671698113,21.93287756,21.93287756,6.415993371
0.828672053,0.00621504,16.89869484,19.17754299,10.84110213,0,0,0.420125786,21.74642635,21.74642635,6.87797804
0.952972861,0.876320696,17.01470893,18.39030454,11.03584007,0,0,0.251572327,21.50403978,21.50403978,7.327532629
1.09177543,2.997721152,16.84897452,17.38139631,11.29687176,0,0,0.218867925,21.2202196,21.2202196,7.629997928
1.09799047,5.392583385,16.46985705,16.55272426,11.55997514,0,0,0.075471698,21.02133831,21.02133831,7.741868655
0.973689662,6.919411643,15.98715558,16.20675368,11.67806091,0,0,0,21.16635591,21.16635591,7.907603066
0.760306609,7.126579656,15.22063393,16.13838823,11.77335819,0,0,0,21.46260617,21.46260617,8.135487881
0.739589807,7.141081417,14.0874249,15.71783717,11.80236172,0,0,0,21.71120779,21.71120779,8.632691112
0.731303087,7.203231821,12.5543816,15.19991713,11.90594572,0,0,0,21.67598923,21.67598923,9.129894344
0.731303087,7.049927491,10.70437125,14.69442718,12.03646157,0,0,0,21.42738761,21.42738761,9.515226849
0.793453491,6.56722602,8.529107106,14.44582556,11.92666252,0,0,0,21.35280713,21.35280713,9.571162213
0.973689662,6.105241351,5.993370624,14.37124508,11.69877771,0,0,0,21.41495753,21.41495753,9.473793246
0.994406464,5.682618604,3.314688212,14.27387611,11.31758856,0,0,0,21.39424073,21.39424073,9.171327947
